Case,Acres,Mean_TEV,Std_TEV,Median_TEV,Q25_TEV,Q75_TEV,Min_TEV,Max_TEV
EIA_CS1_LLP,651.06,-793547.7321942191,621156.26509792,-793927.1036573657,-1216527.7779204072,-376999.629088465,-3458209.798910076,1990409.745891888
EIA_CS2_LLP,937.02,628824.1582759079,731939.7939681204,638422.4523609073,133172.73623292428,1123121.6468284118,-2107428.311032447,3565959.933856537
EIA_CS3_LLP,544.03,1948506.1912000675,427028.80035172217,1948024.6617224743,1656305.4840323941,2234989.049859643,434051.6911453891,3538213.440565489
