Case,Method,Mean_TEV,Std_TEV,Median_TEV,Q25_TEV,Q75_TEV
EIA_CS1_LLP,ESA,-786672.4620311745,621156.4823758621,-787037.3165349219,-1209666.2757724137,-370108.30127804435
EIA_CS2_LLP,ESA,628968.2216884322,731931.3481896449,638371.0332614863,133148.35854987914,1123482.2000931287
EIA_CS3_LLP,ESA,1959393.1321326478,427023.09020745027,1959076.100795283,1667374.4072243122,2246330.188451408
